"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-6350.38500858553,4.67398204420419,0.0130760568467733
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-6386.67623156162,7.66601307186994,2.26672544565831e-18
"3","GTR","relaxed_log_normal","coalescent_constant_population",-6368.74728054497,6.08598177489932,0.000000000138625591667014
"4","GTR","relaxed_log_normal","coalescent_exp_population",-6379.36750208503,6.36020190978599,3.38485291254273e-15
"5","GTR","relaxed_log_normal","yule",-6356.80723276131,5.24717159230681,0.000021249087206774
"6","GTR","strict","birth_death",-6369.68059340709,5.55330680302683,5.45143435611996e-11
"7","GTR","strict","coalescent_bayesian_skyline",-6371.96000069893,5.81819680309311,5.57926228028173e-12
"8","GTR","strict","coalescent_constant_population",-6370.93061984441,6.41811405558566,1.56182080189432e-11
"9","GTR","strict","coalescent_exp_population",-6362.90566865803,5.49295327983585,0.0000000477334935204205
"10","GTR","strict","yule",-6363.88764218778,6.1486683010905,0.0000000178795891623836
"11","HKY","relaxed_log_normal","birth_death",-6355.00683498653,4.86233122740837,0.000128600630456759
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-6360.0616351503,5.39603859059647,0.000000820297295026445
"13","HKY","relaxed_log_normal","coalescent_constant_population",-6359.79500144938,5.28224944324723,0.00000107094908579876
"14","HKY","relaxed_log_normal","coalescent_exp_population",-6349.93126645231,4.52869921557976,0.0205842242536746
"15","HKY","relaxed_log_normal","yule",-6351.82102154952,4.46611112297482,0.00311045765799897
"16","HKY","strict","birth_death",-6357.69356966029,5.3126394260946,0.00000875808295714061
"17","HKY","strict","coalescent_bayesian_skyline",-6356.82684744866,5.12029883823814,0.0000208363540532832
"18","HKY","strict","coalescent_constant_population",-6362.3734239642,5.40729032932513,0.0000000812782144386967
"19","HKY","strict","coalescent_exp_population",-6363.30330784029,5.30891121511648,0.0000000320723452292184
"20","HKY","strict","yule",-6361.31119052298,4.99907262343436,0.00000023512362902815
"21","JC69","relaxed_log_normal","birth_death",-6352.86127077917,4.41549482332338,0.00109913185187138
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-6351.77212965387,4.54404793496433,0.00326631281085003
"23","JC69","relaxed_log_normal","coalescent_constant_population",-6355.14030678157,5.68641487906391,0.000112532258099723
"24","JC69","relaxed_log_normal","coalescent_exp_population",-6352.01760852237,5.3383368403488,0.00255533389841007
"25","JC69","relaxed_log_normal","yule",-6353.69257692665,4.82902595771063,0.000478650063536054
"26","JC69","strict","birth_death",-6346.41185741129,3.2536825093492,0.695015404802836
"27","JC69","strict","coalescent_bayesian_skyline",-6352.50936858135,4.09521038764143,0.00156271210474464
"28","JC69","strict","coalescent_constant_population",-6347.42466442817,4.19303701974828,0.252428235789498
"29","JC69","strict","coalescent_exp_population",-6351.08987821774,4.55140629399523,0.00646183416561133
"30","TN93","relaxed_log_normal","birth_death",-6374.02104607337,6.4213389488086,7.10356150266094e-13
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-6366.41485823101,6.62267839174015,0.00000000142824118790571
"32","TN93","relaxed_log_normal","coalescent_constant_population",-6357.71365738411,6.0641972873777,0.00000858390824907647
"33","TN93","relaxed_log_normal","coalescent_exp_population",-6358.32079805146,4.98950550148552,0.00000467742923067944
"34","TN93","relaxed_log_normal","yule",-6380.63718105327,6.71252791717446,9.50878946256816e-16
"35","TN93","strict","birth_death",-6362.28924308919,5.96099901306141,0.0000000884165253545765
"36","TN93","strict","coalescent_bayesian_skyline",-6367.83548725621,6.25924394810728,0.0000000003450088271115
"37","TN93","strict","coalescent_constant_population",-6355.87433564002,4.02505359414305,0.000054012260158359
"38","TN93","strict","coalescent_exp_population",-6372.71792145743,6.2224951490502,2.61466452694071e-12
"39","TN93","strict","yule",-6372.68992575243,6.25790431039629,2.6888981668945e-12
