Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6390.991063862904	-6385.186396463208	-5.804667399695527	-6385.186396463208	1.0770275577908246	1.2010347540903858	1.0566318244641806	0.23528766600421655	0.24359146294030107	0.2598925421883301	0.2612283288671524	-2.7830170797427276	1.636438886110248	
1	-6391.467769141347	-6384.938513341076	-6.529255800271249	-6384.938513341076	1.287261732566088	0.9905679775124748	1.2565077848135657	0.24014053427011908	0.2420195540044212	0.25452574878905254	0.2633141629364073	-3.509589491324696	1.28741563715111	
2	-6389.621894176192	-6383.026771605015	-6.595122571177093	-6383.026771605015	1.1328926853975625	1.2168028570402656	1.271123966158354	0.23778713713196814	0.24175690169283917	0.2558936256725018	0.26456233550269104	-3.483213738352802	0.9528784237553994	
3	-6389.621894176192	-6383.026771605015	-6.595122571177093	-6383.026771605015	1.1328926853975625	1.2168028570402656	1.271123966158354	0.23778713713196814	0.24175690169283917	0.2558936256725018	0.26456233550269104	-3.483213738352802	0.9528784237553994	
4	-6389.621894176192	-6383.026771605015	-6.595122571177093	-6383.026771605015	1.1328926853975625	1.2168028570402656	1.271123966158354	0.23778713713196814	0.24175690169283917	0.2558936256725018	0.26456233550269104	-3.483213738352802	0.9528784237553994	
5	-6389.621894176192	-6383.026771605015	-6.595122571177093	-6383.026771605015	1.1328926853975625	1.2168028570402656	1.271123966158354	0.23778713713196814	0.24175690169283917	0.2558936256725018	0.26456233550269104	-3.483213738352802	0.9528784237553994	
6	-6388.274643740361	-6381.968948868956	-6.305694871404681	-6381.968948868956	1.167892233108776	1.2394888097870222	1.3413114272663433	0.23901529745595593	0.242870083101762	0.26009770051430814	0.258016918927974	-3.156181924310501	1.7920099295829868	
7	-6388.274643740361	-6381.968948868956	-6.305694871404681	-6381.968948868956	1.167892233108776	1.2394888097870222	1.3413114272663433	0.23901529745595593	0.242870083101762	0.26009770051430814	0.258016918927974	-3.156181924310501	1.7920099295829868	
